CKY_ART;DESCR;CATEGORIA;COSTO
0000004119;!NOTEBOOK ASUS EEE PC 4G-PI0;54;274,26
0000004120;!FOTOCAMERA DIGITALE FUJIFIL;15;97,2
0000004121;!BOXESTERNO MULTIMEDIALE PER;34;43,2
0000004122;!BOX ESTERNO MULTIMEDIALE PE;34;97,5
0000004123;!HDG 2,5 USB2 IDE LC-POWER;34;15,675
0000004124;!NOTEBOOK HP 530 (FH523AA);54;373,2
0000004125;!NOTEBOOK HP COMPAQ 6715S (K;54;526,2
0000004126;!NOTEBOOK ACER EXTENSA 5220;54;381,705
0000004127;!MEMORIA SO-DIMM DDR2 KINGST;29;22,5
0000004128;!MEMORIASO-DIMM DDR2 KINGSTO;29;32,985
0000004129;!PRINT SERVER TP-LINK PS-110;53;34,185
0000004130;!SCHEDA DI RETE WIRELESS PCM;53;16,95
0000004131;!UPS TECNO 1200VA;32;75
0000004132;!ROUTER DSL ETHERNET 4P.WIR.;53;26,01
0000004133;!ALIMENTATORE VARIABILE TECN;3;22,35
0000004134;!ALIMENTATORE VARIABILE TECN;3;25,5
0000004135;!CARTUCCIA ORIGINALE HP C936;87;33,3
0000004136;!<ALIMENTATOREMATSUYAMA HB17;3;40,35
0000004137;!STAMPANTE CANON MX310 MULTI;71;100,8
0000004138;!STAMPANTE LASERJET HP 5550N;23;2692,5
0000004139;!CAVO USB TIPO A/A M/M 1,80;7;8,415
0000004140;!SISTEMA MULTIFUNZIONE CANON;59;957,135
0000004141;!NOTEBOOK HP DV6870 (FF509EA;54;1115,13
0000004142;!NAVIGATORE TOMTOM 730C;16;396,525
0000004143;!TONER COMPATIBILE HP CB435A;43;11,595
0000004144;!MASTERIZZATORE DVD LG GH22N;28;30,27
0000004145;!ALIMENTATOREHANTOL 720 WATT;3;49,815
0000004146;!TONER ORIGINALE SAMSUNG ML1;91;79,335
0000004147;!FOTOCAMERA DIGITALE FUJIFIL;15;93,705
0000004148;!TONER ORIGINALE SAMSUNG SCX;87;84,855
0000004149;!HUB4 PORTE USB 2.0 MEDIACOM;38;17,985
0000004150;!KITFOTOCAMERA DIGITALE CANO;15;210,3
0000004151;!CUFFIA CANYON CNR-EP1;45;12,96
0000004152;!BORSA PER NOTEBOOK RHEIN BA;4;27,21
0000004153;!TOMTOM USB HOME CHARGER;37;27,915
0000004154;!TOMTOM ONE CARRY CASE STRAP;17;27,915
0000004155;!SCHEDA MADRE ASROCK ALIVENF;35;139,125
0000004156;!SINTOLETTORE CD MP3 4X45W A;2;76,29
0000004157;!SINTO CD AUX MOS-FET 50 W X;2;99
0000004158;!SINTOLETTORE CD MP3 AUX FRO;2;85,26
0000004159;!SINTOLETTORE CD MP3 AUX FRO;2;97,935
0000004160;!AUTORADIO 50WX4 RDS AMBRA B;2;82,05
0000004161;!AUTORADIO 50WX4 RDS VERDE B;2;82,05
0000004162;!CARTUC.NERA IPF325/335/355/;83;49,89
0000004163;!GIGASET AL 140 (S30852H2001;1;27
0000004164;!GIGASET A160;1;31,545
0000004165;!GIGASET A160 GIALLO;1;31,545
0000004166;!INK FILM LEONARDO/LEONARDO;83;26,82
0000004167;!TTR FAX DOMINO SMS B/N (SAG;83;30
0000004168;!PORTAFOTO DIGITALE 1 5 SVEG;1;30,99
0000004169;!PORTAFOTO DIGITALE 7 NERO;1;75,42
0000004170;!PORTAFOTO DIGITALE 7 BIANCO;1;78,165
0000004171;!BENQ DC C750;15;84,975
0000004172;!BENQ X735 BLACK;15;113,955
0000004173;!FOTOCAMERA DIGITALE FUJIFIL;15;80,475
0000004174;!FOTOCAMERA DIGITALE FUJIFIL;15;84,855
0000004175;!FOTOCAMERA NIKON COOLPIX L1;15;100,845
0000004176;!NIKON COOLPIX L16 BLACK;15;99,105
0000004177;!SAMSUNG S760 BLUE;15;85,365
0000004178;!SAMSUNG S760 NERA;15;85,365
0000004179;!SAMSUNG S760 ROSA;15;85,365
0000004180;!SAMSUNG S760 SILVER;15;85,365
0000004181;!FOTOCAMERA DIGITALE SONY CY;15;93,555
0000004182;!SONY DSC-S750;15;143,22
0000004183;!FAX BROTHER T106 + TEL + SE;58;104,49
0000004184;!FAX BROTHER 1360 MONOCROMAT;58;91,5
0000004185;!AUTOMATIC VOLTAGE REGULATOR;32;29,61
0000004186;!UPS POWERMUST 400 OFFLINE;32;36,705
0000004187;!UPS POWERMUST 600 USB;32;51,75
0000004188;!UPS POWERMUST OFFICE 650 MU;32;55,02
0000004189;!TRUST 550VA UPS PW-4055T;32;55,995
0000004190;!TRUST 650VA UPS PW-4065T;32;60,405
0000004191;!TRUST 800VA UPS PW-4080T;32;60,255
0000004192;!UPS POWERMUST 1000 OFFLINE;32;64,86
0000004193;!TRUST 1000VA UPS PW-4100T;32;69,045
0000004194;!UPS POWERMUST 1000 USB;32;99,255
0000004195;!UPS POWERMUST 1400 USB;32;129,225
0000004196;!UPS POWERMUST 2000 USB;32;174,63
0000004197;!DVD PLAYER NORTEK 2106 BLAC;2;38,475
0000004198;!DVD PLAYER NORTEK 2850 HDMI;2;80,79
0000004199;!DVD REC. DUAL LAYER MP3 DV-;2;119,91
0000004200;!ZEN STONEPLUS SPEAKER 2GB C;5;55,62
0000004201;!MP3 ZEN STONE PLUS SPEAKER;5;55,62
0000004202;!MP3 ZEN STONE PLUS 2GB BLU;5;65,235
0000004203;!MP3 ZEN 4GB NERO;5;74,865
0000004204;!LETTORE/SCRITTORE USB DI SM;36;23,175
0000004205;!MONITOR PHILIPS 190CW8FB 19;47;136,2
0000004206;!MONITOR ASUS VW193D-B;47;123,39
0000004207;!MONITOR ASUS VW198S;47;148,68
0000004208;!MONITOR ASUS VW202SR;47;169,605
0000004209;!MONITOR ASUS VW221D;47;167,535
0000004210;!MONITOR ASUS VW222S;47;190,8
0000004211;!NAVIGATORE MIO MOOV 200 ITA;16;134,235
0000004212;!NAVIGATORE MIO MOOV 200 WES;16;152,775
0000004213;!NAVIGATORE MIO MOOV 330 ITA;16;184,56
0000004214;!NAVIGATORE GARMIN NUVI 255;16;145,32
0000004215;!NAVIGATORE GARMIN NUVI 205W;16;135,99
0000004216;!NAVIGATORE GARMIN NUVI PINK;16;223,08
0000004217;!STAMPANTE RICOH AFICIO GX25;71;103,71
0000004218;!EUROSET 5005 ANTRACITE;1;25,83
0000004219;!EUROSET 5005 ARTIC GREY;1;26,01
0000004220;!LCD 22 POLLICI DIGTERR;47;403,875
0000004221;!TV LCD HD 22 4000:1 HDMI ID;47;403,875
0000004222;!TV LCD26 HDREADY 2HDMI 4000;47;540,675
0000004223;!DAZZLE TV HYBRID STICK 320E;49;81,6
0000004224;!VIDEOCAMERA SAMSUNG D381 (V;15;142,305
0000004225;!VIDEOCAMERA SAMSUNG MEGAPIX;15;159,6
0000004226;!VIDEOCAMERA SONY DCR HC51E;15;192,57
0000004227;!ROUTER ADSL2/2+ SW4P10/100;53;54,825
0000004228;!ROUTER ADSL2/2+ AP 54 SW4P-;53;61,215
0000004229;!ROUTER ADSL2/2+ AP108 SW FI;53;97,035
0000004230;!CORDLESS MULTIF DC 5035V 11;1;35,07
0000004231;!NOTEBOOK HP 530 (FH526AA);54;345,33
00000042319;!NON USARE;56;1419,9
0000004232;!TONER COMPATIBILE LEXMARK E;82;44,25
0000004233;!FOTOCAMERA NIKON COOLPIX L1;15;115,005
0000004234;!CUFFIA LOGITECH USB PER PS3;45;30,12
0000004235;!FOTOCAMERA NIKON COOLPIX L1;15;133,59
0000004236;!SCHEDA MADRE ASUS P5QL-E;62;87,24
0000004237;!SCHEDA MADRE ASUS P5Q;35;115,08
0000004238;!SCHEDA MADRE ASUS P5Q PRO;62;123,3
0000004239;!SCHEDA MADRE ASUS P5QC;62;150,105
0000004240;!SCHEDA MADRE ASUS P5Q-E;62;132
0000004241;!SCHEDA MADRE ASUS P5Q-DELUX;62;174,675
0000004242;!KIT ALTERNATIVE MOUNT GO530;1;27,765
0000004243;!KIT TOMTOM ONE XL ADDITIONA;1;27,765
0000004244;!NAVIGATORE TOMTOM ONE ITALI;16;114,795
0000004245;!NAVIGATORE TOMTOM ONE XL IT;16;182,025
0000004246;!NAVIGATORE ROADMATE 1215 TO;16;162,375
0000004247;!NOTEBOOK ASUS X51RL-AP170C(;54;622,68
0000004248;!CONVERTITORE ETHERNET-WIREL;53;85,365
0000004249;!SCHEDADI RETE WIRELESS USB;53;23,58
0000004250;!STAMPANTE TERMICA BARCODE Z;23;432,6
0000004251;!PALMARE HP IPAQ 214 ENTERPR;16;341,235
0000004252;!TONER ORIGINALE SAMSUNG ML-;87;89,685
0000004253;!TONER ORIGINALE SAMSUNG ML-;91;166,545
0000004254;!SCHEDA MADRE ASUS P5E3;62;150,765
0000004255;!NOTEBOOK HP FH526AA+KE068EA;54;862,5
0000004256;!NOTEBOOK TOSHIBA A200-290 (;54;578,205
0000004257;!PINNACLE PCTV PRO STICK 340;49;82,875
0000004258;!ROUTER WIRELESS LINKSYS BRO;53;48,45
0000004259;!NETBOOK ACER ASPIRE ONEA150;54;305,235
0000004260;!NETBOOK ACER ASPIREONE A150;54;326,25
0000004261;!WEB CAM CREATIVE VADO ROSA;79;93,735
0000004262;!OTEBOOK ACER EMACHINESEME51;54;438,45
0000004263;!CAVO VGA XBOX360;7;30
0000004264;!OTEBOOK ACER AS2920Z1 (LX.A;54;751,095
0000004265;!NOTEBOOK ACER AS5920G(LX.AQ;54;747,195
0000004266;!NOTEBOOK ACER AS5920G22(LX.;54;751,095
0000004267;!NOTEBOOK ACER AS5930G(LX.AQ;54;848,34
0000004268;!NOTEBOOK ACER AS6920G2(LX.A;54;801
0000004269;!NOTEBOOK ACER AS5920G15(LX.;54;951,3
0000004270;!NOTEBOOK ACER AS5530G(LX.AR;54;848,34
0000004271;!NOTEBOOK ACER FERRARI 1100-;54;1334,535
0000004272;!SCHEDA VIDEO CLUB GF8500GT;51;46,68
0000004273;!SCHEDA VIDEO CLUB GF9600GT;51;94,245
0000004274;!SCHEDA VIDEO CLUB GF9500GT;51;66,27
0000004275;!SECURE DIGITAL KINGSTON 8 G;25;21,78
0000004276;!SCHEDA MADRE ASROCK ALIVENF;62;55,5
0000004277;!SECURE DIGITAL A-DATA 1 GB;42;12,225
0000004278;!SECURE DIGITAL KINGSTON 4 G;25;10,485
0000004279;!<PRINT SERVER TP-LINK PS-11;53;33,87
0000004280;!NOTEBOOK ACER5520-7A2G12MI;54;545,175
0000004281;!NOTEBOOK ACERAS5920-5A2G16M;54;526,2
0000004282;!OTEBOOK ACER AS5920G-814G25;54;848,34
0000004283;!OTEBOOK ACER AS5920G-934G25;54;1048,545
0000004284;!NOTEBOOKACER AS5520G-604G32;54;591,195
0000004285;!NOTEBOOK ACER AS5930G-944G2;54;851,205
0000004286;!OTEBOOK ACER AS7730G-734G25;54;962,745
0000004287;!NOTEBOOK ACER AS8920G-834G3;54;1503,855
0000004288;!CASSE SO-VOIOE V16-1 2.1;70;21
0000004289;!MONITOR BENQ FP222WA 22 WI;47;189,36
0000004290;!NOTEBOOK ACER EXTENSA 5220-;54;363,705
0000004291;!NOTEBOOK TOSHIBA A300-1IM(N;54;773,19
0000004292;!SCANNER EPSON PERFECTION V2;59;106,62
0000004293;!VIDEOPROIETTORE TOSHIBA TDP;79;643,2
0000004294;!SCHEDA VIDEO GEFORCE 8600GT;51;69,24
0000004295;!ROUTER WIRELESS PLANET ADW-;53;62,1
0000004296;!CARTUCCIACOMPATIBILE HP C87;84;17,475
0000004297;!CARTUCCIA COMPATIBILE HP C9;43;13,95
0000004298;!CARTUCCIACOMPATIBILE HP C65;87;25,695
0000004299;!CARTUCCIA COMPATIBILE HP 51;43;20,145
0000004300;!CARTUCCIACOMPATIBILE HP 516;84;17,61
0000004301;!CARTUCCIA COMPATIBILE HP C6;43;11,955
0000004302;!CARTUCCIACOMPATIBILE HP C66;84;19,635
0000004303;!NETBOOK ACER ASPIRE ONE A11;54;201,195
0000004304;!NETBOOK ACER ASPIRE ONE A11;54;266,205
0000004305;!OTEBOOK ACER AS7520G-603G25;54;854,055
0000004306;!TEBOOK ACER AS4920G-302G25(;54;526,2
0000004307;!STAMPANTE MULTIFUNZIONE EPS;24;62,49
0000004308;!STAMPANTE SAMSUNG CLP-310N;23;191,115
0000004309;!MONITOR BENQ G900WA 19 LCD;47;123,03
0000004310;!CPU INTEL PENTIUM DUAL CORE;20;78,15
0000004311;!CPU INTEL CORE 2 DUO E7200;20;122,22
0000004312;!MONITOR ACER AV193WB 19 LC;47;110,295
0000004313;!OTEBOOK ACER AS7730G-844G32;54;1065,705
0000004314;!NOTEBOOK ACERAS5920G-604G25;54;951,3
0000004315;!OTEBOOK ACER AS7720G-934G32;54;1334,535
0000004316;!NOTEBOOK SONY VGN-AR71J 17;54;721,2
0000004317;!CASSE LOGITECH LS11 2.0;70;21,45
0000004318;!NOTEBOOK ACER TM6592G-302G1;54;907,845
0000004319;!FOTOCAMERA DIGITALE SAMSUNG;15;82,74
0000004320;!FOTOCAMERA DIGITALE SAMSUNG;15;82,74
0000004321;!FOTOCAMERA NIKON COOLPIX S2;15;141,51
0000004322;!NOTEBOOK HP COMPAQ PRESARIO;54;648,03
0000004323;!NOTEBOOK HP PAVILION DV6940;54;738,255
0000004324;!SCHEDAVIDEO ATI RADEON ASUS;81;41,52
0000004325;!NOTEBOOK APPLE MACBOOK PRO;54;2342,1
0000004326;!OTEBOOK ACER AS7720G-3A3G25;54;854,055
0000004327;!OTEBOOK TOSHIBA SATELLITE A;54;838,2
0000004328;!CASE MOD.NT722 SILVER & BLA;6;32,625
0000004329;!CASE MOD.NT726 SILVER & BLA;6;32,625
0000004330;!NOTEBOOK ACER AS7720G-6A4G2;54;721,2
0000004331;!NOTEBOOK ACER AS5920G-813G2;54;854,055
0000004332;!CARTUCCIA ORIGINALE HP C938;87;22,65
0000004333;!CARTUCCIA ORIGINALE EPSON T;88;16,32
0000004334;!CARTUCCIA ORIGINALE EPSON T;87;18,135
0000004335;!FOTOCAMERA DIGITALE CANON P;15;154,755
0000004336;!FOTOCAMERA DIGITALE SAMSUNG;15;100,965
0000004337;!FOTOCAMERA DIGITALE SAMSUNG;15;100,965
0000004338;!FOTOCAMERA DIGITALE SAMSUNG;15;107,61
0000004339;!FOTOCAMERA DIGITALE SAMSUNG;15;118,005
0000004340;!FOTOCAMERA DIGITALE SAMSUNG;15;119,295
0000004341;!FOTOCAMERA DIGITALE SAMSUNG;15;120,375
0000004342;!FOTOCAMERA DIGITALE SAMSUNG;15;119,295
0000004343;!FOTOCAMERA DIGITALE SAMSUNG;15;125,625
0000004344;!GAME PAD LOGITECH RUMBLEPAD;57;36,015
0000004345;!HARD DISK HAMLET 160 GB 3,5;39;67,35
0000004346;!HARD DISK HAMLET 250 GB 3,5;39;81,78
0000004347;!HARD DISK HAMLET 500 GB 3,5;39;83,49
0000004348;!DVD PLAYER LG DR385;2;118,65
0000004349;!DVD PLAYER LG DR389;2;132,165
0000004350;!SCHEDA MADRE ASUS P5N73-CM;62;63,285
0000004351;!SCHEDA MADRE ASUS M3N78-CM;62;73,155
0000004352;!SCHEDA MADRE ASUS M3N78-EH;62;69,645
0000004353;!SCHEDA MADRE ASUS M3N78-EM;35;83,61
0000004354;!SCHEDA MADRE ASUS M3N-H/HDM;62;79,125
0000004355;!SCHEDA MADRE ASUS P5K SE-EP;62;84,33
0000004356;!STAMPANTE MULTIFUNZIONE BRO;24;190,8
0000004357;!MONITOR BENQ G2010WAP 20 L;47;156,87
0000004358;!MONITOR SAMSUNG SM2043NWX;47;188,205
0000004359;!TV LCD LG 22 M228WDP-BZ;47;318,195
0000004360;!NAVIGATORE ROADMATE 1200 TO;16;103,875
0000004361;!NETBOOK ASUS EEEPC 7014G;54;203,055
0000004362;!NETBOOK ASUS EEEPC900 (BF00;54;298,695
0000004363;!SCANNER HP SCANJET G2710;59;87,63
0000004364;!EUROSET 5010 ANTRACITE;1;28,59
0000004365;!EUROSET 5015 ANTRACITE;1;44,235
0000004366;!TV LCD SAMSUNG 19 TUN DIG;47;342,555
0000004367;!TV LCD PHILIPS 20 PFL3403D;47;353,01
0000004368;!TV LCD 22 SAMSUNG LE22S86B;47;384,495
0000004369;!TV LCD 26 SAMSUNG LE26A336;47;401,445
0000004370;!TV LCD 32 SAMSUNG LE32A336;47;438,09
0000004371;!TV LCD 40 SAMSUNG LE40A436;47;800,25
0000004372;!TV LCD 40 SAMSUNG LE40A456;47;777
0000004373;!WEB CAM LOGITECH QUICKCAM S;95;49,71
0000004374;!SCHEDATVINTERNA ASUS MY CIN;49;33,24
0000004375;!KIT 4 VIDEOCAMERE SHARP RAP;15;225,9
0000004376;!VIDEOCAMERA SONY DCRHC51E.C;15;188,205
0000004377;!VIDEOCAMERA SAMSUNG VPMX10H;15;198,465
0000004378;!VIDEOCAMERA SAMSUNG VPMX10;15;202,5
0000004379;!NOTEBOOK ACER AS7720Z3(LX.A;54;502,5
0000004380;!VIDEOCAMERA CANON MD216;15;221,685
0000004381;!VIDEOCAMERA SAMSUNG VPDX100;15;157,5
0000004382;!VIDEOCAMERA SAMSUNG VPDX100;15;205,125
0000004383;!NOTEBOOK ACER AS5920G (LX.A;54;700,5
0000004384;!NOTEBOOK ACER EX5220-301G12;54;352,005
0000004385;!NOTEBOOK ACER 5220-301G16MI;54;418,35
0000004386;!NOTEBOOK ASUS M51TA-AP018C;54;737,7
0000004387;!TONER SAMSUNG SCX D4725A/EL;91;83,25
0000004388;!STAMPANTE EPSON SX105 MULTI;24;60,99
0000004389;!STAMPANTE EPSON SX200 MULTI;23;83,43
0000004390;!ARD DISK WESTERN DIGITAL 40;41;57,75
0000004391;!TP-LINK ROUTER WIRELESS TD-;53;60
0000004392;!FOTOCAMERA DIGITALE CANON E;15;340,71
0000004393;!OBIETTIVO PER CANON EOS 40;1;188,205
0000004394;!FOTOCAMERA DIGITALE CANON P;15;502,41
0000004395;!PINNACLE STUDIO 12;69;70,29
0000004396;!NOTEBOOK ACER AS5920G-5A3G2;54;678,3
0000004397;!NOTEBOOK HP PAVILION DV5-10;54;943,17
0000004398;!TASTIERA MULTIMEDIALE KB-98;76;19,47
0000004399;!MASTERIZZATORE DVD PIONEER;28;31,68
0000004400;!ASTERIZZATORE DVD LG GH20NS;28;25,065
0000004401;!SCHEDA MADRE ASROCK ALIVENF;35;47,235
0000004402;!<ROUTER WIRELESS TP-LINK TL;53;44,49
0000004403;!CPU AMD PHENOM X4 9850 2.5;22;160,38
0000004404;!ACCESS POINT NETGEAR WIRELE;53;50,49
0000004405;!CASE TECNO HERO 25 CON DISP;6;45
0000004406;!TV LCD 19 LG M198WDP-BZ;47;253,2
0000004407;!SCHEDA MADRE ASUS P5Q-SE;62;85,365
0000004408;!SCHEDA MADRE ASUS M2N-VM HD;62;58,35
0000004409;!SCHEDA MADRE ASUS M3A78-EM;35;84,315
0000004410;!SCHEDA MADRE ASROCK ALIVEXF;35;48,39
0000004411;!BORSAPER NOTEBOOK G'99 BY G;4;16,8
0000004412;!TV LCD 22 ACER AT2245(EV.M;47;335,1
0000004413;!TV LCD 19 ACER AT1921;47;201,195
0000004414;!VIDEOCAMERA SONY DCRHC53E.C;15;224,385
0000004415;!NETBOOK MSI WINDPC U100-273;54;462,75
0000004416;!CARICATOREDA AUTO KEYTECK P;37;9,81
0000004417;!CPU INTEL CORE 2 QUAD Q9550;20;264,81
0000004418;!NOTEBOOK ACER EXTENSA 5620-;54;526,2
0000004419;!OTEBOOK ACER EXTENSA 5620Z-;54;578,205
0000004420;!CARTUCCIA ORIGINALE EPSON T;87;16,29
0000004421;!TONERORIGINALE CANON 7616A0;87;63,06
0000004422;!ALIMENTATORE 500MA UNIVERSA;3;10,65
0000004423;!CPU AMD SEMPRON LE-1300 AM2;22;51,285
0000004424;!MOUSEOTTICO BEAUTIFUL USB V;50;13,35
0000004425;!MOUSE OTTICO BEAUTIFUL USB;50;13,35
0000004426;!MOUSE OTTICO BEAUTIFUL USB;50;13,35
0000004427;!MOUSE OTTICO BEAUTIFUL USB;50;13,35
0000004428;!MOUSE OTTICO BEAUTIFUL USB;50;13,35
0000004429;!SCHEDA VIDEO GEFORCE GAINWA;51;64,935
0000004430;!SCHEDA VIDEO GEFORCE GAINWA;51;76,41
0000004431;!>LETTORE MICRO SD HC;93;16,8
0000004432;!SISTEMA DI SORVEGLIANZA EAS;92;25,5
0000004433;!NETBOOK MSI WINDPC U100P-00;54;435,21
0000004434;!RICEVITORE TRASMETTITORE WI;1;43,5
0000004435;!PC TREXON CPU 5000 X2 HD 25;13;307,5
0000004436;!NETBOOK ACER ASPIRE ONE A15;54;210,945
0000004437;!MEMORIA DDR2 CORSAIR 2 GB P;29;39,3
0000004438;!STAMPANTE MULTIFUNZIONE BRO;24;69,18
0000004439;!TELEFONOCORDLESS PHILIPS DE;1;38,55
0000004440;!TELEFONO CORDLESS PHILIPS D;58;39,57
0000004441;!FOTOCAMERA DIGITALE FUJIFIL;15;98,07
0000004442;!FOTOCAMERA DIGITALE BENQ E1;15;108,255
0000004443;!RICEVITORE SUPPLEMENTARE PE;1;31,29
0000004444;!INVERTITORE DI CORRENTE TRU;3;36,105
0000004445;!CARTUCCIA ORIGINALE HPC9396;87;37,275
0000004446;!CARTUCCIA ORIGINALE HPC9391;87;28,5
0000004447;!CARTUCCIA ORIGINALE HPC9392;87;28,35
0000004448;!CARTUCCIA ORIGINALE HPC9393;87;28,35
0000004449;!CARTUCCIAORIGINALE EPSON T0;88;19,47
0000004450;!TV LCD 19 LG C9391AE (M198;47;201,195
0000004451;!HARD DISK VERBATIM 500 GB 3;39;138,615
0000004452;!MONITOR ACER P193W (ET.CP3W;47;212,28
0000004453;!MONITOR ACER P193WW (ET.CP3;47;200,835
0000004454;!MONITOR ACER P223WWD (ET.EP;47;258,03
0000004455;!SCHEDA DI RETE WIRELESS ATL;53;22,35
0000004456;!TRANS FLASH MEDIACOM 2 GB;42;16,08
0000004457;!MOUSEMEDIACOM OTTICO RETRAT;95;14,4
0000004458;!MOUSEMEDIACOM OTTICO RETRAT;50;14,49
0000004459;!STAMPANTE EPSON STYLUS S20;71;61,965
0000004460;!STAMPANTE SAMSUNG ML-1640 L;23;82,32
0000004461;!NETBOOK MSI WINDPC U100-273;54;461,19
0000004462;!STAMPANTE LEXMARK Z-2300;71;35,85
0000004463;!CONTROLLERWIRELESS PS2 2.4G;57;22,5
0000004464;!BATTERIA DA 3600MHA CON SPO;37;22,5
0000004465;!PEN TOUCH SCREEN X NINTENDO;1;9,75
0000004466;!LETTORE MICRO SD;93;18,75
0000004467;!SCHEDA MADRE ASROCK WOLFDAL;62;47,145
0000004468;!CONSOLE NINTENDO DS LITE SI;93;171,81
0000004469;!FOTOCAMERA DIGITALE CANON P;15;345,495
0000004470;!STAMPANTE SAMSUNG CLP-310 L;23;117,57
0000004471;!PEN TOUCH SCREEN X NINTENDO;1;9,75
0000004472;!PEN TOUCH SCREEN X NINTENDO;1;9,375
0000004473;!MONITOR PHILIPS 190SW9FS 19;47;112,365
0000004474;!MOUSE OTTICO KEYTECK MS-337;50;10,455
0000004475;!MOUSE OTTICO KEYTECK MS-337;50;10,575
0000004476;!MOUSE OTTICO KEYTECK MS-337;97;11,97
0000004477;!MOUSE OTTICO KEYTECK MS-337;50;10,575
0000004478;!MOUSEOTTICO KEYTECK MS-3370;50;11,97
0000004479;!MOUSE OTTICO KEYTECK MS-337;50;11,97
0000004480;!MOUSEOTTICO KEYTECK MS-3370;97;11,055
0000004481;!TASTIERA STANDARD KEYTECK K;76;11,415
0000004482;!TASTIERA KEYTECK KB-768S SI;97;11,4
0000004483;!TASTIERAKEYTECK KB-3133MB M;97;15,45
0000004484;!TASTIERA MINI KT-1903 USB;76;13,095
0000004485;!BASE PORTA PC ST-2008 IN ME;97;16,095
0000004486;!MOUSE OTTICO MS-3305 NERO E;50;10,41
0000004487;!MOUSE OTTICO MS-3329 NERO E;50;12,375
0000004488;!MOUSE OTTICO MS-800 ROLLER;50;12,435
0000004489;!WEBCAM KEYTECK WCAM5508 CON;97;19,23
0000004490;CD-R SPINDLE KODAK 52X CAKE;11;22,5
0000004491;!TONER ORIGINALE HP CB541A C;87;73,44
0000004492;!TONER COMPATIBILE BROTHER T;90;69,405
0000004493;!KITROUTER WIRELESS NETGEAR;53;84,21
0000004494;!TONER ORIGINALE HP CB540A N;87;79,65
0000004495;!TONER ORIGINALE HP CB542A G;87;73,44
0000004496;!TONER ORIGINALE HP CB543A M;87;73,44
0000004497;!STAMPANTE LASERJET HP CM131;23;436,845
0000004498;!CD-R SPINDLE TRAXDATA 52X C;11;7,665
0000004499;!DVD -R TRAXDATA 8X/16X CAKE;11;7,665
0000004500;!CD-R SPINDLE KODAK 52X CAKE;11;7,62495
0000004501;!DVD-R KODAK 16X CAKE 25;11;7,68
0000004502;!CD-R 52X CAKE 50;11;7,665
0000004503;!DVD-R 16X CAKE 50;11;8,235
0000004504;!MASTERIZZATORE DVD LG GH20N;28;24,81
0000004505;!MASTERIZZATORE DVD LG GH22L;28;30,765
0000004506;!HARD DISK WESTERN DIGITAL 6;41;87,465
0000004507;!MOUSE LOGITECH OTTICO LX6 W;50;26,175
0000004508;!MOUSELOGITECH CORDLESS OPTI;50;33,24
0000004509;!MOUSE LOGITECH CORDLESS OPT;50;33,24
0000004510;!MOUSE LOGITECH PILOT OPTICA;50;24,135
0000004511;!WEB CAM LOGITECH QUICKCAM P;79;97,665
0000004512;!MOUSE LOGITECH LASER V150 P;50;28,17
0000004513;!MOUSE LOGITECH CORDLESS LAS;50;42,885
0000004514;!TASTIERA LOGITECH MEDIA NER;76;19,98
0000004515;!BASE PER NOTEBOOK LOGITECH;1;24,615
0000004516;!WEB CAM LOGITECH QUICKCAM D;79;59,25
0000004517;!CARTUCCIA ORIGINALE CANON C;43;18,405
0000004518;!NETBOOK ASUS EEEPC 904HD BI;54;348,69
0000004519;!NETBOOK ASUS EEEPC 1000H BI;54;447,825
0000004520;!STAMPANTE CANON IP2600;23;51,915
0000004521;!NOTEBOOK HP COMPAQ PRESARIO;54;481,305
0000004522;!STAMPANTE SAMSUNG SCX-4300;23;105,765
0000004523;!CPU INTEL CORE 2 DUO E7300;20;112,305
0000004524;!CPU INTEL DUAL CORE E5200 S;20;63,9
0000004525;!CALCOLATRICE OLIVETTI SUMMA;14;43,335
0000004526;!CALCOLATRICE OLIVETTI LOGOS;14;79,725
0000004527;!CARTA FOTOGRAFICA GLOSSY GP;44;14,175
0000004528;!CARTA FOTOGRAFICA PR-101 CA;44;14,415
0000004529;!CARTA FOTOGRAFICA DURABRITE;44;15,345
0000004530;!CARTA FOTOGRAFICA LUCIDA UL;44;15,075
0000004531;!MEMORIA PEN DRIVE CRUZER 2G;42;13,98
0000004532;!MEMORIA PEN DRIVE CRUZER 4G;42;18,51
0000004533;!SINTO CD LG MOD LAC 2800R;2;73,8
0000004534;!AUTORADIO 50WX4 KENWOOD AMB;2;84,87
0000004535;!MEMORIA PEN DRIVE CRUZER 8G;42;27,735
0000004536;!MEMORY STICK PRO DUO SANDIS;42;19,995
0000004537;!MEMORY STICK PRO DUO SANDIS;42;22,275
0000004538;!CASE ASUS TA-881 NERO E SIL;6;36,75
0000004539;!CASE MOD. ASUS ESCLUSO ALIM;6;34,41
0000004540;!CASEMOD. TM-250 ESCLUSO ALI;6;41,67
0000004541;!CASSE CREATIVE A200 2.1;95;36
0000004542;!CASSE LOGITECH LS21 2.1;70;32,04
00000045420;!NON USARE;31;265,5
0000004543;!GIGASET A160 RUBY;1;31,545
0000004544;!FAX BROTHER T104 + TEL;58;74,445
0000004545;!FAX CANON JX-200;58;102,075
0000004546;!JOYPAD LOGITECH PS2 PRECISI;57;18,675
0000004547;!JOYPAD LOGITECH CHILLSTREAM;57;30,12
