CKY_ART;EAN13;MARCA
0000004278;0740617111286;KINGSTON
0000004297;0000000004297;HP
0000004301;0000000004301;HP
0000004402;6935364051273;TP-LINK
0000004474;8033140051429;KEYTECK
0000004475;8033140051962;KEYTECK
0000004477;8033140051924;KEYTECK
0000004542;5099206009677;LOGITECH
0000004628;8033140052266;KEYTECK
0000004634;8033140052419;KEYTECK
0000004635;8033140052426;KEYTECK
0000004636;8033140051504;KEYTECK
0000004645;0740617128147;KINGSTON
0000004972;8028153012826;MEDIACOM
0000005074;0000000005074;EPSON
0000005075;0000000005075;EPSON
0000005076;0000000005076;EPSON
0000005077;0000000005077;EPSON
0000005111;8028153005002;MEDIACOM
0000005114;8033140053140;KEYTECK
0000005115;8033140053096;KEYTECK
0000005116;8033140053072;KEYTECK
0000005117;8033140053119;KEYTECK
0000005118;8033140053102;KEYTECK
0000005119;8033140053089;KEYTECK
0000005120;8033140053065;KEYTECK
0000005121;8033140053034;KEYTECK
0000005122;8033140053041;KEYTECK
0000005128;8033140052303;KEYTECK
0000005129;8033140052327;KEYTECK
0000005130;8033140052242;KEYTECK
0000005136;8033140051603;KEYTECK
0000005195;0000000005195;ALPHA POWER
0000005261;0000000005261;HP
0000005892;0000000005892;HP
0000006169;0000000006169;EPSON
0000006171;0000000006171;EPSON
0000006225;6935364050368;TP-LINK
0000007009;0883585763306;HP
0000007017;0883585763542;HP
0000007064;0740617173741;KINGSTON
0000007080;0000000007080;CANON
0000007555;0000000007555;KEYTECK
0000007556;8033140053522;KEYTECK
0000007661;5099206003873;LOGITECH
0000007699;0000000007699;SAMSUNG
0000007808;2489111100478;KEYTECK
0000007981;0731304219781;APC
0000008009;0000000008009;KEYTECK
0000008079;0000000008079;SANDISK
0000008109;0000000008109;NILOX
0000008259;8032539911146;ITEK
0000008261;8033140053331;KEYTECK
0000008269;6935364050467;TP-LINK
0000008270;0000000008270;ASROCK
0000008752;0000000008752;LOGITECH
0000008766;6935364052096;TP-LINK
0000008768;6935364052058;TP-LINK
0000008787;4960999617039;CANON
0000008788;4960999617015;CANON
0000008812;0718037761817;WESTERN DIGITAL
0000008842;0000000008842;SAMSUNG
0000008891;0885370720983;MICROSOFT
0000008892;0885370721058;MICROSOFT
0000008917;0000000008917;OKI
0000008918;0000000008918;OKI
0000008919;0000000008919;OKI
0000008920;0000000008920;OKI
0000008921;0000000008921;BROTHER
0000008943;0885370720600;MICROSOFT
0000008946;0086000372378;TP-LINK
0000008958;0000000008958;CANON
0000008959;0000000008959;CANON
0000008963;0000000008963;EPSON
0000008972;0000000008972;PANASONIC
0000008984;0885370720709;MICROSOFT
0000009063;0000000009063;BROTHER
0000009081;0000000009081;VERBATIM
0000009104;0000000009104;EPSON
0000009110;0000000009110;EPSON
0000009163;8033140051474;KEYTECK
0000009181;0619659055646;SANDISK
0000009229;5099206008427;LOGITECH
0000009233;6935364031060;TP-LINK
0000009234;6935364031039;TP-LINK
0000009241;8033140054284;KEYTECK
0000009247;8033140054062;KEYTECK
0000009248;8033140054093;KEYTECK
0000009251;8033140054260;KEYTECK
0000009301;0000000009301;LC-POWER
0000009303;4260070122125;LC-POWER
0000009328;0008705840037;CORSAIR
0000009418;8026475161772;TECNOWARE
0000009550;4719331825089;GIGABYTE
0000009596;0000000009596;ALPHA POWER
0000009642;6935364050412;TP-LINK
0000009652;0000000009652;MATSUYAMA
0000009723;0000000009723;LC-POWER
0000009885;6935364060343;TP-LINK
0000009948;0132018352335;TP-LINK
0000009953;0843591048088;CORSAIR
0000010021;0000000010021;SAMSUNG
0000010022;0000000010022;SAMSUNG
0000010024;0000000010024;SAMSUNG
0000010025;0000000010025;SAMSUNG
0000010079;6935364051402;TP-LINK
0000010080;6935364051426;TP-LINK
0000010081;8459730521958;TP-LINK
0000010090;5051964080572;OKI
0000010124;0000000010124;SANDISK
0000010134;0883585763788;HP
0000010135;0883585764020;HP
0000010139;8808987658311;SAMSUNG
0000010176;6935364052164;TP-LINK
0000010182;4052714308411;OKI
0000010250;0000000010250;HP
0000010259;8026475161802;TECNOWARE
0000010268;0000000010268;ANDROMEDA SICUREZZA
0000010276;6935364051389;TP-LINK
0000010279;6935364052157;TP-LINK
0000010313;0000000010313;VERBATIM
0000010342;4711140871950;ASROCK
0000010374;6935364020620;TP-LINK
0000010401;0000000010401;KEYTECK
0000010420;0883585705023;HP
0000010421;0883585705269;HP
0000010422;0883585705405;HP
0000010423;0883585705528;HP
0000010424;0883585946242;HP
0000010425;6935364031039;TP-LINK
0000010426;6935364050344;TP-LINK
0000010479;0000000010479;HP
0000010514;0000000010514;ALPHA POWER
0000010516;0000000010516;TECNOWARE
0000010517;0000000010517;TECNOWARE
0000010518;0000000010518;TECNOWARE
0000010519;0000000010519;TECNOWARE
0000010531;0000000010531;TECNOWARE
0000010532;0000000010532;TECNOWARE
0000010533;0000000010533;TECNOWARE
0000010535;0000000010535;TECNOWARE
0000010536;0000000010536;TECNOWARE
0000010537;0000000010537;TECNOWARE
0000010538;0000000010538;TECNOWARE
0000010543;0000000010543;TECNOWARE
0000010551;0000000010551;TECNOWARE
0000010557;0000000010557;BROTHER
0000010558;0000000010558;BROTHER
0000010559;0000000010559;BROTHER
0000010560;0000000010560;BROTHER
0000010561;0000000010561;BROTHER
0000010562;0000000010562;BROTHER
0000010563;0000000010563;BROTHER
0000010564;0000000010564;BROTHER
0000010656;6935364051419;TP-LINK
0000010658;6935364051495;TP-LINK
0000010769;8034049820048;NILOX
0000010770;0000000010770;CANON
0000010772;0000000010772;BROTHER
0000010794;8011400005313;DIGITUS
0000010795;8028400004505;DIGITUS
0000010796;8028400006042;DIGITUS
0000010801;4016032117933;DIGITUS
0000010802;4016032233879;DIGITUS
0000010803;4016032342311;DIGITUS
0000010804;0000000010804;DIGITUS
0000010830;6935364050382;TP-LINK
0000010834;0000000010834;TECNO
0000010837;0000000010837;BROTHER
0000010838;0000000010838;HP
0000010840;0000000010840;HP
0000010841;0000000010841;HP
0000010843;0000000010843;HP
0000010845;0000000010845;CANON
0000010846;0000000010846;SAMSUNG
0000010847;0000000010847;SAMSUNG
0000010864;8033140055328;KEYTECK
0000010870;8033140055373;KEYTECK
0000010880;8033140055489;KEYTECK
0000010882;8033140055274;KEYTECK
0000010886;8033140055250;KEYTECK
0000010918;0000000010918;TECNO
0000010952;0872767009615;ARCTIC
0000010979;4897032650381;HANTOL
0000010981;0000000010981;HANTOL
0000010982;4897032650374;HANTOL
0000011030;8808993336890;SAMSUNG
0000011037;0000000011037;DIGITUS
0000011106;5099206064201;LOGITECH
0000011107;5099206064225;LOGITECH
0000011109;5099206019126;LOGITECH
0000011110;5099206019133;LOGITECH
0000011122;8808993619528;SAMSUNG
0000011146;4711140870892;ASROCK
0000011163;5099206021891;LOGITECH
0000011196;5099206020764;LOGITECH
0000011208;8033140055717;KEYTECK
0000011210;8033140055700;KEYTECK
0000011215;8033140055106;KEYTECK
0000011216;8033140055113;KEYTECK
0000011217;8033140056264;KEYTECK
0000011218;8033140056295;KEYTECK
0000011219;8033140056271;KEYTECK
0000011220;8033140056288;KEYTECK
0000011221;8033140055120;KEYTECK
0000011223;8033140055038;KEYTECK
0000011232;8033140055496;KEYTECK
0000011245;8033140055632;KEYTECK
0000011314;0000000011314;DIGITUS
0000011325;0000000011325;BROTHER
0000011326;0000000011326;SAMSUNG
0000011327;0000000011327;SAMSUNG
0000011328;0000000011328;SAMSUNG
0000011329;0000000011329;SAMSUNG
0000011351;8033140054802;KEYTECK
0000011360;4960999272368;CANON
0000011363;4960759022028;NIKON
0000011373;4897032650985;HANTOL
0000011374;0000000011374;HANTOL
0000011393;4716329051642;HANNSG
0000011400;6935364050542;TP-LINK
0000011401;8167264000558;TECHMADE
0000011402;8167264000657;TECHMADE
0000011404;8167264000640;TECHMADE
0000011405;8167264000565;TECHMADE
0000011407;8099990001335;TECHMADE
0000011408;8099990001618;TECHMADE
0000011412;8099999003620;TECHMADE
0000011414;8099990001236;TECHMADE
0000011417;8099990001137;TECHMADE
0000011418;8099990001458;TECHMADE
0000011419;8099990001441;TECHMADE
0000011424;8099990000895;TECHMADE
0000011425;8099990000918;TECHMADE
0000011427;8099990000994;TECHMADE
0000011446;8099990001229;TECHMADE
0000011457;8033140056721;KEYTECK
0000011458;8033140056738;KEYTECK
0000011459;8033140056745;KEYTECK
0000011513;0000000011513;HP
0000011521;0000000011521;PANASONIC
0000011532;8099990000543;TECHMADE
0000011542;0341969237848;TP-LINK
0000011550;4025112077531;ARCTIC
0000011559;0730143263030;AMD
0000011577;8099990001687;TECHMADE
0000011582;8099990001670;TECHMADE
0000011602;0000000011602;ANDROMEDA SICUREZZA
0000011615;8033140056370;KEYTECK
0000011616;8033140056387;KEYTECK
0000011619;8033140055083;KEYTECK
0000011624;8033140056257;KEYTECK
0000011625;8033140056240;KEYTECK
0000011626;8033140056714;KEYTECK
0000011627;8033140057025;KEYTECK
0000011628;8033140056684;KEYTECK
0000011629;8033140056677;KEYTECK
0000011654;0000000011654;DIGITUS
0000011655;4016032258216;DIGITUS
0000011656;4016032287209;DIGITUS
0000011688;0843591010344;CORSAIR
0000011697;8303792000343;KN MOBILE
0000011735;8020334312374;OLIVETTI
0000011746;5032037009713;INTEL
0000011779;0882224592833;MICROSOFT
0000011884;0870584006619;CORSAIR
0000011906;0000000011906;TECNO
0000011907;0000000011907;TECNO
0000011910;8024049420614;MATSUYAMA
0000011967;4016032258223;DIGITUS
0000011969;4016032241461;DIGITUS
0000011975;0000000011975;SAMSUNG
0000011994;0884420709220;HP
0000011999;8033140056769;KEYTECK
0000012003;0000000012003;ARCTIC
0000012043;0023942530213;VERBATIM
0000012072;8716309049832;KEYTECK
0000012073;0000000012073;KEYTECK
0000012075;8033140053621;KEYTECK
0000012078;8033140057254;KEYTECK
0000012079;8716309033947;KEYTECK
0000012080;8716309024594;KEYTECK
0000012117;4897032651364;HANTOL
0000012125;4016032235422;DIGITUS
0000012128;4016032244813;DIGITUS
0000012132;4710636266218;PALIT
0000012164;0000000012164;SAMSUNG
0000012198;0000000012198;BROTHER
0000012199;0000000012199;BROTHER
0000012200;0000000012200;BROTHER
0000012201;0000000012201;BROTHER
0000012202;0000000012202;HP/CANON
0000012237;8033140056950;KEYTECK
0000012239;8033140056837;KEYTECK
0000012241;0000000012241;KEYTECK
0000012258;8033140057148;KEYTECK
0000012260;8033140057087;KEYTECK
0000012261;8033140057100;KEYTECK
0000012262;0000000012262;KEYTECK
0000012268;8033140057117;KEYTECK
0000012277;0000000012277;DIGITUS
0000012280;0000000012280;TECNO
0000012293;0023942490647;VERBATIM
0000012299;0000000012299;HANTOL
0000012312;4895106250543;ATI
0000012353;0843591010061;CORSAIR
0000012354;0843591008693;CORSAIR
0000012381;0740617128505;KINGSTON
0000012391;0843591010801;CORSAIR
0000012426;4897032651517;HANTOL
0000012427;4897032651463;HANTOL
0000012428;4897032651500;HANTOL
0000012429;4897032651487;HANTOL
0000012430;4897032651470;HANTOL
0000012432;4897032651524;HANTOL
0000012433;4897032651531;HANTOL
0000012437;0718037773421;WESTERN DIGITAL
0000012438;0740617148367;KINGSTON
0000012478;0843591000093;CORSAIR
0000012512;8033140056608;KEYTECK
0000012513;8033140056622;KEYTECK
0000012514;8033140056615;KEYTECK
0000012515;8033140056639;KEYTECK
0000012516;8033140056646;KEYTECK
0000012517;8033140056165;KEYTECK
0000012518;8033140056172;KEYTECK
0000012521;8033140056110;KEYTECK
0000012523;8033140056141;KEYTECK
0000012524;8033140056158;KEYTECK
0000012525;8033140056134;KEYTECK
0000012526;0740617114577;KINGSTON
0000012528;0843591010276;CORSAIR
0000012536;4960999655567;CANON
0000012561;0000000012561;SAMSUNG
0000012567;8715946416304;EPSON
0000012572;8715946465418;EPSON
0000012590;4016032254362;DIGITUS
0000012599;4711140877136;ASROCK
0000012600;0000000012600;ASUS
0000012612;5099206022423;LOGITECH
0000012618;0790069269974;D-LINK
0000012619;0790069269912;D-LINK
0000012621;0790069246111;D-LINK
0000012655;8026475162601;TECNOWARE
0000012656;8033140056332;KEYTECK
0000012670;0714983449106;ESET
0000012672;0000000012672;EPSON
0000012674;0000000012674;EPSON
0000012766;4016032325246;DIGITUS
0000012767;4016032330929;DIGITUS
0000012792;0000000012792;HANTOL
0000012793;0000000012793;HANTOL
0000012796;4897032650916;HANTOL
0000012809;8018963023075;CITIZEN
0000012935;5028695608627;NEC
0000012960;4897032727274;HANTOL
0000012962;4016032209782;DIGITUS
0000012979;8024049481295;MATSUYAMA
0000012980;8024049427613;MATSUYAMA
0000012982;0000000012982;HANTOL
0000012999;0000000012999;EPSON
0000013001;0000000013001;EPSON
0000013002;0000000013002;EPSON
0000013003;0000000013003;EPSON
0000013005;0000000013005;SAMSUNG
0000013007;0884962894408;HP
0000013015;0884962894507;HP
0000013035;4897032652156;HANTOL
0000013055;0000000013055;MATSUYAMA
0000013082;0885370221817;SONY
0000013097;0870584005902;CORSAIR
0000013099;0740617128826;KINGSTON
0000013125;0000000013125;SAMSUNG
0000013146;4711140876801;ASROCK
0000013183;8024049137369;MATSUYAMA
0000013214;0870584003069;CORSAIR
0000013217;0023942530299;VERBATIM
0000013218;6935364051464;TP-LINK
0000013231;0843591004091;CORSAIR
0000013232;7636490030598;SEAGATE
0000013252;0000000013252;HEYDOIT
0000013256;0000000013256;HEYDOIT
0000013277;0790069341366;D-LINK
0000013283;0023942490623;VERBATIM
0000013301;0843591007146;CORSAIR
0000013313;0843591016117;CORSAIR
0000013317;0843591014137;CORSAIR
0000013328;4977766697231;BROTHER
0000013341;4711140876931;ASROCK
0000013342;8099990002899;TECHMADE
0000013350;8099990002387;TECHMADE
0000013351;8099990002394;TECHMADE
0000013352;8099999002265;TECHMADE
0000013356;0000000013356;TECHMADE
0000013358;0843591012362;CORSAIR
0000013377;4711140876979;ASROCK
0000013386;0000000013386;SAMSUNG
0000013387;0000000013387;SAMSUNG
0000013388;0000000013388;SAMSUNG
0000013389;0000000013389;SAMSUNG
0000013451;4016138633207;SAMSUNG
0000013456;4895106259515;SAPPHIRE
0000013465;4719543359402;ASUS
0000013477;0843591010221;CORSAIR
0000013489;0883585763900;HP
0000013526;0000000013526;GDATA
0000013528;0000000013528;GDATA
0000013539;5099206016538;LOGITECH
0000013540;6935364050566;TP-LINK
0000013543;8099990002165;TECHMADE
0000013559;0740617169850;KINGSTON
0000013561;4713435791431;ADATA
0000013581;0740617169836;KINGSTON
0000013604;0000000013604;BROTHER
0000013646;0000000013646;TECNO
0000013647;2001000005208;TECNO
0000013648;2001000005215;TECNO
0000013653;8018963023815;CITIZEN
0000013664;4016032261674;MATSUYAMA
0000013667;8024049281383;MATSUYAMA
0000013677;4016032282891;DIGITUS
0000013678;4016032285793;DIGITUS
0000013680;0000000013680;DIGITUS
0000013682;0000000013682;CITIZEN
0000013686;8388766373647;TECNO
0000013693;8057284620402;VULTECH
0000013694;8057284620396;VULTECH
0000013695;8057284620426;VULTECH
0000013696;8057284620419;VULTECH
0000013697;8057284620068;VULTECH
0000013698;8057284620082;VULTECH
0000013699;8057284620099;VULTECH
0000013700;8057284620037;VULTECH
0000013701;8057284620051;VULTECH
0000013702;8057284620198;VULTECH
0000013704;8057284620877;VULTECH
0000013705;4713100181444;VULTECH
0000013706;8057284620457;VULTECH
0000013707;8057284620440;VULTECH
0000013708;5866321884843;VULTECH
0000013709;8057284620983;VULTECH
0000013710;8057284620648;VULTECH
0000013711;8057284620631;VULTECH
0000013712;8057284620624;VULTECH
0000013713;8057284620693;VULTECH
0000013714;8057284620709;VULTECH
0000013715;8057284620891;VULTECH
0000013716;8057284620907;VULTECH
0000013717;8057284620600;VULTECH
0000013718;8057284620617;VULTECH
0000013719;8057284620488;VULTECH
0000013720;8965719102594;VULTECH
0000013721;8965711112324;VULTECH
0000013722;8965719780013;VULTECH
0000013723;8965719478552;VULTECH
0000013724;8057284620013;VULTECH
0000013725;8965719898848;VULTECH
0000013736;8026475162007;TECNOWARE
0000013737;0000000000012;TECNOWARE
0000013739;4711140877297;ASROCK
0000013750;8057284620105;VULTECH
0000013751;8718891005104;BROTHER
0000013771;4016032287889;DIGITUS
0000013779;0000000013779;EPSON
0000013780;0000000013780;EPSON
0000013781;0000000013781;EPSON
0000013782;0000000013782;EPSON
0000013783;0000000013783;CANON
0000013784;0000000013784;CANON
0000013785;0000000013785;CANON
0000013786;0000000013786;CANON
0000013788;0000000013788;SAMSUNG
0000013789;0000000013789;SAMSUNG
0000013790;0000000013790;BROTHER
0000013791;0000000013791;BROTHER
0000013792;0000000013792;HP/CANON
0000013794;0000000013794;HP
0000013795;0000000013795;HP
0000013796;0000000013796;HP
0000013797;0000000013797;HP
0000013798;0000000013798;HP
0000013799;0000000013799;HP
0000013800;0000000013800;HP
0000013801;0000000013801;HP
0000013803;0000000013803;HP
0000013804;0000000013804;HP
0000013805;0000000013805;SAMSUNG
0000013825;0000000013825;CANON
0000013826;0000000000006;CANON
0000013827;0000000013827;CANON
0000013828;0000000013828;CANON
0000013829;0000000013829;CANON
0000013841;0000000013841;THERMALTAKE
0000013845;0000000013845;THERMALTAKE
0000013846;4716872051977;THERMALTAKE
0000013847;4713157525840;THERMALTAKE
0000013850;0000000013850;THERMALTAKE
0000013852;0000000013852;THERMALTAKE
0000013854;6935364021665;TP-LINK
0000013862;8033140052795;KEYTECK
0000013868;8033140057841;KEYTECK
0000013869;8033140057834;KEYTECK
0000013871;8033140057773;KEYTECK
0000013872;8033140057759;KEYTECK
0000013873;8033140057681;KEYTECK
0000013875;8033140057827;KEYTECK
0000013876;8033140057810;KEYTECK
0000013877;8033140057964;KEYTECK
0000013896;6935364050511;TP-LINK
0000013903;4897032651555;HANTOL
0000013904;4897032652163;HANTOL
0000013912;9564254676646;OKI
0000013927;4016032065173;DIGITUS
0000013928;4016032241553;DIGITUS
0000013929;4016032062943;DIGITUS
0000013940;0000000013940;CANON
0000013971;0000000013971;POWER X
0000013979;8024049481462;MATSUYAMA
0000013981;8024049481271;MATSUYAMA
0000013982;8024049481257;MATSUYAMA
0000013997;5099206022898;LOGITECH
0000014006;8000000132567;AMD
0000014007;0730143300797;AMD
0000014023;0000000014023;EMINENT
0000014030;8057284620990;VULTECH
0000014039;8000130591463;EMINENT
0000014056;0000000014056;EMINENT
0000014062;0000000014062;EMINENT
0000014074;8032958183674;KEYTECK
0000014090;0000000014090;4NET
0000014102;0740617169843;KINGSTON
0000014105;4897032652590;HANTOL
0000014106;4897032652613;HANTOL
0000014109;4897032652583;HANTOL
0000014121;6935364030551;TP-LINK
0000014140;4719543181751;ASUS
0000014150;0000000014150;MEDIACOM
0000014151;0000000014151;MEDIACOM
0000014158;0730143300674;AMD
0000014186;0000000014186;SAMSUNG
0000014193;8034049827818;NILOX
0000014196;8057284620075;VULTECH
0000014198;5099206027886;LOGITECH
0000014228;0000000011111;TECNO
0000014233;8033140057599;KEYTECK
0000014236;8716309026994;KEYTECK
0000014239;8028400004512;DIGITUS
0000014241;0000000014241;BROTHER
0000014242;0000000014242;BROTHER
0000014243;0000000014243;BROTHER
0000014244;0000000014244;BROTHER
0000014245;0000000014245;EPSON
0000014251;8026475162809;TECNOWARE
0000014252;8026475162793;TECNOWARE
0000014269;0740617135084;KINGSTON
0000014299;0000000014299;SAMSUNG
0000014314;4897032652682;HANTOL
0000014315;4897032652705;HANTOL
0000014316;4897032652699;HANTOL
0000014317;4897032652675;HANTOL
0000014318;0000000014318;HANTOL
0000014320;0000000014320;HANTOL
0000014321;0000000014321;HANTOL
0000014322;0000000014322;HANTOL
0000014323;4897032652262;HANTOL
0000014324;4897032652248;HANTOL
0000014325;0000000014325;HANTOL
0000014326;4897032652217;HANTOL
0000014327;4897032652255;HANTOL
0000014329;4897032651579;HANTOL
0000014362;5099206020511;LOGITECH
0000014467;5099206027282;LOGITECH
0000014644;8057284620433;VULTECH
0000014646;8030514100417;VULTECH
0000014647;0000000014647;KEYTECK
0000014648;8057284620778;VULTECH
0000014649;8057284620204;VULTECH
0000014650;8057284620938;VULTECH
0000014651;8057284620464;VULTECH
0000014652;8057284620471;VULTECH
0000014653;8057284620044;VULTECH
0000014722;0000000014722;BROTHER
0000014723;14,708;SAMSUNG
0000014749;8056459413757;MACH POWER
0000014752;0000000014752;MACH POWER
0000014769;0000000014769;ALPHA POWER
0000014772;0000000014772;MACH POWER
0000014782;0000000014782;ALPHA POWER
0000014788;0000000014788;MACH POWER
0000014792;0000000014792;ALPHA POWER
0000014794;0000000014794;ALPHA POWER
0000014797;0000000014797;ALPHA POWER
0000014798;0000000014798;ALPHA POWER
0000014809;0000000014809;ALPHA POWER
0000014811;0000000014811;MACH POWER
0000014813;0000000014813;MACH POWER
0000014815;0000000014815;MACH POWER
0000014819;0000000014819;MACH POWER
0000014820;0000000014820;KEYTECK
0000014821;0000000014821;MACH POWER
0000014822;0000000014822;MACH POWER
0000014823;0000000014823;MACH POWER
0000014824;0000000014824;MACH POWER
0000014825;0000000014825;MACH POWER
0000014826;0000000014826;MACH POWER
0000014827;0000000014827;MACH POWER
0000014828;0000000014828;MACH POWER
0000014829;0000000014829;MACH POWER
0000014830;0000000014830;MACH POWER
0000014832;0000000014832;MACH POWER
0000014834;0000000014834;KEYTECK
0000014840;0000000014840;MACH POWER
0000014841;0000000014841;MACH POWER
0000014842;0000000014842;MACH POWER
0000014843;0000000014843;MACH POWER
0000014844;0000000014844;MACH POWER
